,Predictions,Actual,Stock Price
931,20.488314821945814,21.91,19.43
1078,503.00548802820845,513.64,504.26
1597,413.0316359373086,402.64,406.46
6,255.57244372616475,254.87,251.82
608,36.35962548038495,36.96,34.4
523,159.19637766392452,160.01,157.36
1209,50.11580482300893,51.1,48.51
1003,140.16717351233137,144.41,138.41
546,435.08020783492947,466.02,438.38
356,166.21504534901123,173.15,165.25
1790,261.1095063804064,279.28,260.0
821,26.248089003519254,26.9,24.97
269,53.51228734462881,54.75,52.73
872,141.7161979943695,153.15,142.03
997,24.116506682851814,20.38,23.0
880,77.26280843256053,75.89,75.55
1270,74.91207158412541,70.05,73.09
11,46.99536872577011,45.34,45.68
222,51.07912320210282,49.74,49.29
1043,128.89210303132035,125.6,126.49
1703,103.60637452581291,107.31,102.09
203,44.71936842153748,46.15,43.52
1881,79.11055765406573,77.88,77.56
1201,59.860960568829235,55.02,59.44
862,84.16330790149662,85.66,83.63
814,75.96059946948868,75.48,73.39
752,103.74436325160589,105.99,103.16
1176,47.184997925617296,47.69,46.59
230,108.1058605984853,107.4,105.28
32,60.94846029745757,58.39,59.44
284,62.56494805817365,67.54,60.015
780,115.23412341112767,116.99,115.07
1698,42.54418849325476,38.01,42.31
1797,117.46012978508729,132.25,115.61
1317,116.52453691825187,128.75,115.03
227,186.8753238353106,190.08,184.86
522,114.15252424243079,112.97,113.01
1817,21.06360934815103,18.8,19.4
303,139.3979154069729,144.5,139.46
1870,125.77075267420491,129.76,122.83
1286,128.47341564188935,124.08,124.45
769,91.95799169535037,96.12,91.19
1649,96.06107955398906,95.55,94.34
636,10.371029300103295,11.0,9.66
698,145.19947518911056,150.12,144.7
372,77.29391120371807,81.65,76.87
1700,80.99611861927355,83.35,78.76
1641,26.960340281916814,27.45,25.59
1429,368.0937843452675,364.1,365.46
92,74.57775371466143,75.96,72.74
114,126.2539745181739,131.12,122.87
1517,95.65940788503674,98.61,96.2
